close,date,high,low,open,quoteVolume,volume,weightedAverage
8.21,1483335000,8.225,8.17,8.225,83.45817274,682.62655322,8.1792655
8.15100406,1483336800,8.21,8.15100406,8.17007664,19.87460872,162.69141298,8.18589262
8.18400191,1483338600,8.213,8.15100479,8.15100479,267.71754892,2194.34643292,8.19649829
8.18400985,1483340400,8.22287708,8.18400446,8.1840057,6.79752638,55.73771937,8.19970622
8.21125056,1483342200,8.25,8.18401047,8.222877,72.25802298,595.08379689,8.23553942
8.17000128,1483344000,8.252,8.15,8.21125018,747.71539048,6109.49636713,8.17088486
8.2415684,1483345800,8.24156842,8.16473204,8.16473204,606.3541643,4991.84770456,8.23256109
8.18841274,1483347600,8.24999999,8.185,8.18715719,127.05984197,1041.79004771,8.1992078
8.22700468,1483349400,8.22911544,8.16472707,8.18841274,119.37301327,978.72329905,8.19886565
8.17095606,1483351200,8.22,8.15000003,8.19000005,535.69951182,4377.84410725,8.17220103
8.18000316,1483353000,8.2165161,8.15616926,8.17038516,130.28751891,1065.66534783,8.17933564
8.21486393,1483354800,8.21651611,8.18000318,8.20999998,130.85701972,1074.75230619,8.21318037
8.15616671,1483356600,8.21651465,8.15616671,8.2157252,92.02707385,752.55870238,8.17757938
8.19146816,1483358400,8.21651611,8.11,8.16899984,816.27174464,6649.32642273,8.14597156
8.14493543,1483360200,8.23385113,8.14493543,8.19146842,138.11893635,1128.72089415,8.17209373
8.13991854,1483362000,8.2,8.13991854,8.14493545,220.88534661,1807.32256265,8.182175
8.13163451,1483363800,8.1871042,8.12300325,8.18074727,37.7234826,307.01654948,8.13860567
8.17406245,1483365600,8.21999989,8.16477593,8.18294049,106.37589155,872.32728246,8.20042276
8.1929,1483367400,8.1929,8.16209947,8.17177608,147.76462686,1207.79930674,8.17380541
8.16241369,1483369200,8.1929,8.16145265,8.19289999,8.54302842,69.96054424,8.18919717
8.32123646,1483371000,8.32123646,8.18058758,8.19913182,981.49949642,8105.69881975,8.25848495
8.32,1483372800,8.32329899,8.2400022,8.32123646,752.4720543,6253.85077291,8.31107379
8.42699999,1483374600,8.42699999,8.31,8.31000002,1128.94676258,9471.47474845,8.38965579
8.45430475,1483376400,8.4543048,8.427,8.427,922.19906842,7789.21034324,8.44634375
8.45949998,1483378200,8.46475429,8.40347611,8.45430475,637.33561129,5383.10039967,8.44625704
8.375,1483380000,8.45949998,8.34705632,8.45949998,640.36590911,5363.48477708,8.37565632
8.37000001,1483381800,8.41899702,8.35000001,8.375,246.15475068,2059.9922216,8.36868764
8.34705555,1483383600,8.392,8.34705554,8.35731907,614.99951739,5139.85418121,8.35749303
8.30951879,1483385400,8.392,8.30951879,8.392,218.74225274,1820.99573716,8.32484677
8.30354629,1483387200,8.3969557,8.27927917,8.3,208.61782151,1738.98305599,8.33573586
8.39,1483389000,8.44,8.30354629,8.30354652,397.10521413,3320.99763906,8.36301695
8.41999997,1483390800,8.43726901,8.39,8.39846259,891.55733976,7485.15253888,8.39559297
8.41999999,1483392600,8.43998998,8.4,8.41999997,60.79901776,511.26303862,8.4090674
8.41,1483394400,8.43998999,8.40064482,8.41999999,290.26014743,2439.6853769,8.40516825
8.34518519,1483396200,8.41000001,8.34518177,8.41,1128.2200998,9480.36664079,8.40294074
8.33800002,1483398000,8.38929453,8.338,8.35857882,12.12316026,101.31751603,8.35735186
8.38908573,1483399800,8.38908573,8.35400054,8.37461079,11.75209636,98.43932574,8.3763205
8.39,1483401600,8.42999999,8.34520493,8.34520493,59.27159009,499.00887628,8.41902293
8.38141245,1483403400,8.41477297,8.36649963,8.41477297,23.56872517,197.46725246,8.3783595
8.309,1483405200,8.34360463,8.309,8.34360463,55.29467291,459.80866302,8.31560508
8.35039583,1483407000,8.35039583,8.30354629,8.309,155.37507591,1295.17109222,8.33577125
8.35295692,1483408800,8.35295692,8.30354767,8.35039583,20.18078707,168.20824989,8.33506886
8.30664595,1483410600,8.39999843,8.30664595,8.3419993,341.26953441,2849.17348761,8.34874842
8.30664595,1483412400,8.3203108,8.30664594,8.3203108,59.48224891,494.13998409,8.30735207
8.36333213,1483414200,8.39999945,8.30664595,8.3203108,508.54183093,4261.78908706,8.38041008
8.33912168,1483416000,8.36333213,8.32989682,8.36333213,42.76663124,357.63321643,8.36243599
8.32225798,1483417800,8.36333205,8.30666732,8.33702166,12.93021074,107.80425512,8.33739351
8.33334391,1483419600,8.39999999,8.31553061,8.31553061,129.48163653,1078.43583968,8.32887093
8.4,1483421400,8.4,8.34100827,8.38557465,238.78412773,2005.66072364,8.39947253
8.40518646,1483423200,8.40518647,8.35557468,8.4,162.69727191,1365.12144743,8.39056138
8.43,1483425000,8.45,8.40518647,8.40518647,354.49997651,2994.2510397,8.44640687
8.5,1483426800,8.5,8.43,8.44999999,1101.8343024,9314.99134347,8.45407637
8.50456323,1483428600,8.54599998,8.5,8.5,321.55638594,2735.61849267,8.50743015
8.5,1483430400,8.535,8.44111045,8.535,288.7424318,2452.32756934,8.49313193
8.44222244,1483432200,8.5,8.44,8.5,266.10030619,2260.352464,8.4943625
8.49,1483434000,8.49,8.44001005,8.44001005,201.55550328,1706.3944991,8.46612705
8.48999999,1483435800,8.49,8.44000215,8.44903659,610.87572783,5180.18405495,8.47993105
8.46962894,1483437600,8.5,8.46962894,8.49,703.82876563,5979.72330995,8.49599164
8.483,1483439400,8.5,8.46581709,8.46962894,39.28626986,333.81228764,8.49691988
8.5,1483441200,8.5,8.45885243,8.5,178.61884475,1517.76081746,8.49720431
8.53999999,1483443000,8.54000001,8.47637736,8.49999999,595.59832773,5067.05925877,8.50751088
8.54,1483444800,8.54000001,8.48480041,8.54,278.89817369,2381.74062531,8.53982151
8.576,1483446600,8.576,8.5054931,8.5054931,570.37307267,4882.31420951,8.55986098
8.57,1483448400,8.58001779,8.57,8.576,304.97797326,2615.52986747,8.57612711
8.62367483,1483450200,8.62367483,8.55,8.5512,741.13799299,6371.79653423,8.59731466
8.75,1483452000,8.75,8.62367486,8.62367486,1717.0239252,14919.38301846,8.68909442
8.85,1483453800,8.85,8.66249999,8.74000001,1641.00740503,14367.67429382,8.75539881
9.19,1483455600,9.45,8.84000024,8.84524735,6422.27989919,58827.21498297,9.1598647
9.22816136,1483457400,9.3,9.1,9.16910538,2178.59476558,20024.63646784,9.19153795
9.30000002,1483459200,9.364,9.2,9.29699999,1479.02529488,13758.26931115,9.30225423
9.285,1483461000,9.38000001,9.23784141,9.34000002,851.34470554,7935.56241144,9.32120956
9.45360014,1483462800,9.45360014,9.25000103,9.285,987.84179182,9247.64318518,9.36146178
9.44301235,1483464600,9.5,9.40000001,9.45360013,2633.72399831,24935.87372143,9.46791453
9.54450001,1483466400,9.54450001,9.43301229,9.43301229,2475.41304336,23529.24594442,9.50517975
9.74,1483468200,9.75217202,9.5,9.5099999,3064.76859208,29495.78712749,9.62414819
9.81,1483470000,9.85,9.69000009,9.75217202,5306.62955604,51788.0146673,9.75911623
9.83269334,1483471800,9.95,9.78999201,9.78999201,2694.17135044,26666.82198392,9.89796806
9.70000108,1483473600,9.82000001,9.54,9.82000001,2000.2367785,19429.05553506,9.7133778
9.50000001,1483475400,9.8,9.3,9.79999998,6995.48903209,66497.19646349,9.50572521
9.4930537,1483477200,9.61499906,9.42027986,9.5,4478.33537463,42480.70313237,9.48582443
9.61001339,1483479000,9.71983416,9.49305599,9.57,2018.8849225,19428.91764766,9.62358846
9.649,1483480800,9.74793138,9.60500204,9.61001339,1423.89362724,13759.95848513,9.66361406
9.69205981,1483482600,9.76999981,9.67,9.74793032,456.73437683,4452.93031028,9.74949672
9.6920598,1483484400,9.79694773,9.6920598,9.73,1093.7193836,10657.61914573,9.74438169
9.653,1483486200,9.72922309,9.653,9.65300001,215.62944842,2081.70878284,9.65410243
9.54897985,1483488000,9.65300001,9.40000033,9.65300001,1007.06890929,9522.69467375,9.45585211
9.62072002,1483489800,9.7,9.48911586,9.59505054,178.11885676,1716.81844295,9.63861139
9.68997471,1483491600,9.69999999,9.58537658,9.69999999,341.97549727,3301.07764527,9.6529654
9.746,1483493400,9.746,9.60604677,9.60604678,97.11302231,941.5968524,9.6958866
9.71999999,1483495200,9.75,9.62774998,9.74120475,115.42943257,1121.11484794,9.71255617
9.98724082,1483497000,10.09999998,9.67925557,9.71999999,2506.83885781,24766.01781546,9.87938165
