close,date,high,low,open,quoteVolume,volume,weightedAverage
0.00651062,1483225200,0.00651062,0.00648616,0.00648616,976.82885322,6.33947015,0.00648984
0.00648553,1483227000,0.00650564,0.00648438,0.00650564,1.52227631,0.00987304,0.0064857
0.00648653,1483228800,0.00648653,0.00648214,0.00648214,1569.50520479,10.17706057,0.00648424
0.00648653,1483230600,0.00648653,0.00648653,0.00648653,0,0,0.00648653
0.00649799,1483232400,0.00649799,0.00648053,0.00648053,2386.92741034,15.48131531,0.00648587
0.00649799,1483234200,0.00649799,0.00649799,0.00649799,0,0,0.00649799
0.00649799,1483236000,0.00649799,0.00649799,0.00649799,0,0,0.00649799
0.00656285,1483237800,0.00656285,0.00655124,0.00655124,2858.06091821,18.74145668,0.0065574
0.00656285,1483239600,0.00656285,0.00656285,0.00656285,0,0,0.00656285
0.00659703,1483241400,0.00659703,0.00659703,0.00659703,3.71695293,0.02452084,0.00659703
0.00659698,1483243200,0.00659699,0.00659697,0.00659697,4165.75453975,27.48141868,0.00659698
0.00659698,1483245000,0.00659698,0.00659698,0.00659698,0,0,0.00659698
0.00659698,1483246800,0.00659698,0.00659698,0.00659698,0,0,0.00659698
0.00655647,1483248600,0.00655675,0.00655647,0.00655675,60.8447358,0.39892674,0.00655647
0.00655647,1483250400,0.00655647,0.00655647,0.00655647,0,0,0.00655647
0.00655647,1483252200,0.00655647,0.00655647,0.00655647,0,0,0.00655647
0.00655647,1483254000,0.00655647,0.00655647,0.00655647,0,0,0.00655647
0.00655647,1483255800,0.00655647,0.00655647,0.00655647,0,0,0.00655647
0.00655647,1483257600,0.00655647,0.00655647,0.00655647,0,0,0.00655647
0.00657101,1483259400,0.00657101,0.00657101,0.00657101,0.04547078,0.00029878,0.00657101
0.00657101,1483261200,0.00657101,0.00657101,0.00657101,0,0,0.00657101
0.00657101,1483263000,0.00657101,0.00657101,0.00657101,0,0,0.00657101
0.00659145,1483264800,0.00659145,0.00659145,0.00659145,443.63739238,2.92421369,0.00659145
0.00655514,1483266600,0.00655655,0.00655514,0.00655655,6378.18916466,41.81320651,0.00655565
0.00655514,1483268400,0.00655514,0.00655514,0.00655514,0,0,0.00655514
0.00655514,1483270200,0.00655514,0.00655514,0.00655514,0,0,0.00655514
0.00649668,1483272000,0.0065249,0.00643959,0.0065249,1349.62654315,8.79151408,0.00651403
0.00649668,1483273800,0.0065035,0.00649668,0.00649668,6553.06070433,42.5806989,0.00649783
0.00647938,1483275600,0.00647944,0.00647938,0.00647944,222.58129569,1.44218884,0.00647938
0.00647938,1483277400,0.00647938,0.00647938,0.00647938,0,0,0.00647938
0.00647912,1483279200,0.00647914,0.00645184,0.00645184,353.27405557,2.28756831,0.00647533
0.00645206,1483281000,0.00645206,0.00645206,0.00645206,60,0.3871236,0.00645206
0.00645206,1483282800,0.00645206,0.00645206,0.00645206,0,0,0.00645206
0.00644074,1483284600,0.00645212,0.00644074,0.00645212,884.88012539,5.69937475,0.00644084
0.00636674,1483286400,0.00642797,0.00636674,0.00640009,7036.50872173,45.0940268,0.00640857
0.00647066,1483288200,0.00647454,0.00638594,0.00638594,30593.50377712,197.74901312,0.00646375
0.00647066,1483290000,0.00647066,0.00647066,0.00647066,0,0,0.00647066
0.00643556,1483291800,0.00643558,0.00643556,0.00643558,875.64032694,5.63524461,0.00643556
0.00640393,1483293600,0.00640394,0.00640393,0.00640394,149.7,0.95866832,0.00640393
0.00640393,1483295400,0.00640393,0.00640393,0.00640393,0,0,0.00640393
0.00640414,1483297200,0.00640416,0.00640414,0.00640416,5310.02627765,34.00617805,0.00640414
0.00639882,1483299000,0.00639882,0.00636462,0.00637801,5494.59469685,35.10727374,0.00638942
0.00636875,1483300800,0.00636877,0.00636873,0.00636873,2278.19337699,14.50926134,0.00636875
0.00635583,1483302600,0.00639318,0.00635582,0.0063688,5449.72257553,34.77234539,0.00638057
0.0062653,1483304400,0.00635866,0.0062653,0.00635866,83844.73673521,525.58773744,0.00626858
0.00629567,1483306200,0.00630016,0.0062588,0.00628136,19776.78082716,123.8886451,0.00626434
0.00632387,1483308000,0.00632387,0.00632385,0.00632385,230.52570823,1.4578146,0.00632386
0.00634569,1483309800,0.00634569,0.00634569,0.00634569,0.13844357,0.00087851,0.00634569
0.00634574,1483311600,0.00634574,0.00634574,0.00634574,742.85954388,4.71399352,0.00634574
0.00634569,1483313400,0.00640561,0.00634569,0.00634569,8997.67683177,57.57890004,0.0063993
0.00634569,1483315200,0.00634569,0.00634569,0.00634569,0,0,0.00634569
0.00637388,1483317000,0.00637388,0.00635773,0.00635773,2000.12201935,12.7199555,0.00635958
0.00641808,1483318800,0.00641808,0.00636717,0.00641807,2025.61324944,12.93522356,0.00638583
0.00640868,1483320600,0.00640869,0.00640836,0.00640836,3310.66486656,21.21676734,0.00640861
0.00640868,1483322400,0.00640868,0.00640868,0.00640868,0,0,0.00640868
0.00638726,1483324200,0.00638726,0.00638726,0.00638726,9452.92199621,60.37827054,0.00638726
0.00635841,1483326000,0.00635933,0.00635841,0.00635933,34252.31766254,217.79105634,0.00635843
