close,date,high,low,open,quoteVolume,volume,weightedAverage
4.51893124,1483342200,4.52980209,4.50504377,4.50504377,6.33231659,28.56765116,4.51140601
4.52599998,1483344000,4.52599998,4.51193706,4.51893124,8.690965,39.30140526,4.52209912
4.53652939,1483345800,4.54394972,4.52398857,4.5239886,46.69077735,211.31468441,4.5258335
4.51149999,1483347600,4.51629608,4.4715,4.5114631,20.28200771,91.32132491,4.50257815
4.5318275,1483349400,4.5318275,4.49999999,4.49999999,5.88089021,26.52585412,4.5105168
4.5318275,1483351200,4.5318275,4.5318275,4.5318275,0,0,4.5318275
4.53274177,1483353000,4.53274177,4.52407029,4.53274177,1.41342362,6.40648564,4.53260123
4.54616914,1483354800,4.54616914,4.5265457,4.53274177,76.54970854,346.78944327,4.53025164
4.56358057,1483356600,4.5635806,4.54616914,4.54616914,81.52175945,371.06596389,4.55174135
4.70698765,1483358400,4.72,4.56358057,4.56358057,512.67842682,2390.42425631,4.66261916
4.72,1483360200,4.72,4.70698765,4.70698765,527.82684128,2486.29922388,4.71044484
4.53700001,1483362000,4.73676463,4.53700001,4.71591835,807.85700595,3704.00834155,4.58498015
4.6,1483363800,4.62999992,4.59126322,4.59126322,238.15180948,1101.03758308,4.62325936
4.65199997,1483365600,4.65199997,4.60207414,4.62612187,101.62142929,472.47734684,4.64938694
4.65045297,1483367400,4.66716437,4.63778916,4.63778916,6.89324858,32.10393104,4.65730064
4.63995438,1483369200,4.65234299,4.63995438,4.65189453,6.20584351,28.84096093,4.64738772
4.66759211,1483371000,4.66759214,4.66759211,4.66759214,3,14.00277636,4.66759212
4.72,1483372800,4.72,4.65400001,4.65400001,28.97053695,136.12248921,4.69865261
4.69651479,1483374600,4.72982955,4.67400001,4.71567758,325.47880088,1535.87760809,4.71882532
4.66100024,1483376400,4.726778,4.66001948,4.72436597,111.58035183,526.462534,4.7182369
4.66087776,1483378200,4.70899957,4.66087776,4.66100024,233.83893173,1098.20092103,4.69639898
4.675888,1483380000,4.675888,4.6579489,4.65946046,148.75619337,695.45388319,4.67512556
4.63511219,1483381800,4.69324988,4.63511219,4.675888,81.72050455,379.91424861,4.64894643
4.62129502,1483383600,4.63289261,4.60602124,4.63289261,11.5188554,53.16475811,4.61545494
4.57600041,1483385400,4.6208192,4.57600041,4.61500001,22.28348597,102.50827259,4.60019014
4.54727161,1483387200,4.57186728,4.48230849,4.57186728,232.93494078,1054.92894794,4.52885661
4.55897432,1483389000,4.567,4.51300001,4.517,159.00191179,719.14769648,4.5228871
4.59999999,1483390800,4.59999999,4.54486496,4.55897432,367.36883791,1689.30375548,4.59838609
4.55697152,1483392600,4.58059812,4.55697152,4.57168469,11.81325638,53.90593476,4.56317318
4.57821544,1483394400,4.57821546,4.53500045,4.55049695,54.21748671,247.80334277,4.57054278
4.61888877,1483396200,4.61888877,4.5544407,4.5544407,135.55250754,623.42931643,4.59917214
4.57880976,1483398000,4.59314753,4.57392674,4.59314753,5.74799833,26.32061324,4.57909201
4.60587161,1483399800,4.60587161,4.56669752,4.57174484,19.27423023,88.056916,4.56863464
4.60587161,1483401600,4.60587161,4.60587161,4.60587161,0,0,4.60587161
4.60566973,1483403400,4.61888877,4.60254481,4.606058,9.29912746,42.8441346,4.60732846
4.60567,1483405200,4.60567,4.58757088,4.60566973,24.94939139,114.72890527,4.59846508
4.6377256,1483407000,4.64392419,4.62918167,4.62918167,164.26674032,761.8359005,4.63779763
4.62130214,1483408800,4.65299363,4.62130214,4.65299363,12.19366795,56.5562406,4.63816472
4.6110136,1483410600,4.62130214,4.6110136,4.62130214,177.0056678,817.84244837,4.62043085
4.60362151,1483412400,4.62378287,4.60362146,4.60965244,4.97182551,22.92547522,4.61107799
4.65288587,1483414200,4.65288587,4.62313173,4.62313173,489.12097314,2275.32999612,4.65187575
4.6212409,1483416000,4.6212409,4.603,4.61300001,171.58275289,790.56957813,4.60751191
4.58757697,1483417800,4.61999962,4.53900006,4.61745047,470.47399477,2141.56526306,4.55193121
4.54717726,1483419600,4.57648099,4.52515,4.57613007,45.24973644,205.15833838,4.53391233
4.59756243,1483421400,4.59762298,4.55032771,4.55032771,170.66720172,783.78886439,4.59249847
4.54408984,1483423200,4.57536219,4.54408984,4.55720459,31.29001442,142.58760222,4.55696824
4.50590045,1483425000,4.55114246,4.50093616,4.54640695,215.4373645,977.03171497,4.53510799
4.49590045,1483426800,4.49957931,4.46800001,4.49957931,119.84989409,536.40777963,4.47566335
4.50820366,1483428600,4.50820366,4.48628473,4.48628473,6.88933621,31.00706554,4.50073339
4.49000637,1483430400,4.51299999,4.49000637,4.49700006,99.07898335,445.3355435,4.49475285
4.48302774,1483432200,4.51699991,4.48302774,4.5,227.39836816,1025.94223867,4.51165171
4.51227288,1483434000,4.51227288,4.48303,4.48303,3.1412041,14.15632352,4.50665511
4.52364721,1483435800,4.52364721,4.52364721,4.52364721,0.70456688,3.187212,4.52364721
4.51364722,1483437600,4.51364722,4.51364722,4.51364722,0.7063078,3.18802423,4.51364722
4.52,1483439400,4.52364722,4.52,4.52364722,13.67664678,61.86384192,4.52331941
4.511,1483441200,4.52364722,4.5096,4.52,165.8981621,749.95360547,4.52056608
4.53211485,1483443000,4.53211485,4.52,4.52,63.00546373,284.79029418,4.52008885
4.50650534,1483444800,4.53230753,4.50650534,4.53230753,14.83257922,67.03459759,4.51941611
4.59350116,1483446600,4.59350297,4.53500002,4.53500002,289.30002175,1328.57324266,4.59237173
4.53999939,1483448400,4.53999941,4.5,4.53473478,204.39531015,927.93276774,4.53989265
4.5,1483450200,4.50410087,4.47845168,4.50410087,96.2625225,431.55034094,4.48305664
4.5,1483452000,4.50000001,4.5,4.50000001,32.12372495,144.55676247,4.5
4.51118199,1483453800,4.51904224,4.5,4.5,83.54771279,376.04202739,4.50092545
4.49386945,1483455600,4.51118199,4.45,4.51118199,744.69008207,3323.33742177,4.46271207
4.51307045,1483457400,4.52940559,4.44520254,4.45001094,441.81149809,1988.26404998,4.5002542
4.519,1483459200,4.519,4.519,4.519,22.49,101.63231,4.519
4.50830758,1483461000,4.5092222,4.50830758,4.5092222,8.07562503,36.41477961,4.5092212
4.51,1483462800,4.51,4.47897305,4.51,91.80793789,413.99161657,4.50932268
4.51,1483464600,4.57,4.49032488,4.51,1456.72995337,6593.91928607,4.52652138
4.57036286,1483466400,4.57036286,4.52120564,4.55599811,119.98381616,546.90530113,4.55815891
4.57054016,1483468200,4.57426599,4.57054,4.57426598,79.9953522,365.77786984,4.57248902
4.56844363,1483470000,4.56844363,4.56844363,4.56844363,11,50.25287993,4.56844363
4.53701846,1483471800,4.55315894,4.53701846,4.55315894,162.79356526,738.718325,4.5377612
